game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0022300205,203939,1610612742,1610612749,23.6,49,49,1,0,0,0,0,0,1,1,0,0,21,15,1,0,0,2,1,3,0,0,4,5,24,14,0.5,1.37,0.33,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,2,5,0,9850,1.87,0.96,0.9,4.48,4.99,4.03
0022300206,1628380,1610612759,1610612763,26.2,50,53,2,1,2,0,0,2,0,0,0,0,32,35,6,1,2,9,9,16,0,0,2,6,46,37,1.7,2.22,0.83,3,0,0,2,2,2,1,1,1,0,5,1,1,0,0,2,3,1,1,0,3,0,1,2,2,2,0,0,0,1,4,3,1,6,0,3,0,2,4,0,10046,1.9,0.99,0.91,4.06,4.36,3.78
0022300207,1631096,1610612760,1610612744,36.97,78,76,4,0,0,1,2,1,2,1,1,1,45,48,5,0,0,3,5,13,2,2,6,10,75,49,2.0,1.61,0.75,5,1,2,0,0,2,1,0,1,0,16,7,12,4,4,18,1,0,1,2,1,1,1,0,0,2,0,0,0,0,4,4,0,8,0,6,4,2,12,1,14487,2.74,1.46,1.29,4.13,4.75,3.84
0022300210,1631124,1610612743,1610612739,19.87,40,40,0,0,0,0,0,0,0,0,0,0,11,13,1,0,0,2,1,3,0,1,1,1,18,12,0.5,1.73,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,8428,1.6,0.77,0.83,4.46,4.91,4.09
0022300212,1631099,1610612758,1610612742,32.52,67,65,6,3,3,0,0,6,3,0,0,0,28,30,4,0,0,3,4,11,1,0,1,3,42,35,1.3,1.87,1.0,2,1,1,0,0,3,1,0,0,0,4,2,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,3,2,14068,2.66,1.48,1.18,4.73,5.23,4.23
0022300214,203994,1610612756,1610612762,34.87,71,70,0,0,0,0,0,0,0,0,0,0,38,27,2,0,1,2,3,5,1,2,5,11,53,28,1.5,1.7,0.32,4,1,1,0,0,2,3,1,0,0,10,7,8,2,2,16,0,0,1,1,2,0,1,2,2,2,0,0,0,1,4,3,0,6,0,8,4,4,18,0,12976,2.46,1.27,1.19,4.0,4.13,3.87
0022300217,1628970,1610612766,1610612738,44.97,88,91,10,1,5,4,4,6,3,1,0,2,47,37,5,0,1,10,6,12,1,0,2,5,66,31,2.9,2.68,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,4,11,19,2,17380,3.29,1.74,1.55,4.15,4.47,3.61
0022300220,1630245,1610612741,1610612748,12.03,22,20,1,0,0,2,2,2,0,0,0,1,21,17,1,0,0,1,1,2,0,0,0,2,26,15,1.2,2.74,1.92,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,4,1,5132,0.97,0.54,0.43,4.52,4.55,3.58
0022300224,1630541,1610612744,1610612745,21.6,42,43,2,1,2,0,0,2,0,0,0,0,9,11,0,0,0,1,0,0,0,0,1,1,16,11,0.8,3.08,2.13,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,2,0,2,5,3,8300,1.57,0.87,0.7,4.25,4.54,3.94
0022300224,1641764,1610612744,1610612745,17.95,33,35,0,0,0,0,0,0,0,0,0,0,26,19,3,0,0,3,3,9,0,0,0,1,29,16,1.0,1.98,1.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,7834,1.48,0.83,0.65,4.81,5.06,4.55
0022300228,1630699,1610612749,1610612738,21.95,47,47,1,0,1,0,0,0,0,0,0,0,8,6,0,0,0,1,0,0,1,0,4,4,13,7,0.5,2.14,1.62,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,2,2,0,8972,1.7,0.84,0.85,4.33,4.12,4.55
0022300229,1628386,1610612739,1610612748,22.85,45,47,1,0,0,0,0,0,0,0,1,0,18,17,2,0,0,1,2,5,0,0,2,3,24,16,0.8,1.96,0.42,2,0,0,0,0,0,2,0,0,0,4,1,1,2,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,6,0,6942,1.31,0.67,0.64,3.94,4.32,3.56
